Virtical	Types	instagram	links	link2
Top	['Crop-Top-And-Leggings', 'High-Top-Sneakers', 'Top-Casual', 'Long-Sleeve-Crop-Top', 'Body-Top', 'Cute-Crop-Tops', 'Corset-Style-Tops', 'Crop-Top-Elegante', 'Crop-Top-Designs']	['#CropTopAndLeggings', '#HighTopSneakers', '#TopCasual', '#LongSleeveCropTop', '#BodyTop', '#CuteCropTops', '#CorsetStyleTops', '#CropTopElegante', '#CropTopDesigns']	https://www.flipkart.com/clothing-and-accessories/topwear/pr?sid=clo,ash&p[]=facets.ideal_for%255B%255D%3DWomen&p[]=facets.ideal_for%255B%255D%3Dwomen&otracker=categorytree&otracker=nmenu_sub_Women_0_Topwear	['https://www.flipkart.com/q/Crop-Top-And-Leggings', 'https://www.flipkart.com/q/High-Top-Sneakers', 'https://www.flipkart.com/q/Top-Casual', 'https://www.flipkart.com/q/Long-Sleeve-Crop-Top', 'https://www.flipkart.com/q/Body-Top', 'https://www.flipkart.com/q/Cute-Crop-Tops', 'https://www.flipkart.com/q/Corset-Style-Tops', 'https://www.flipkart.com/q/Crop-Top-Elegante', 'https://www.flipkart.com/q/Crop-Top-Designs']
Skirt	['Tennis-Skirts', 'Dress-Skirt', 'Skirt-Fashion', 'Velvet-Mini-Skirt', 'Mini-Skirts', 'Cotton-Skirt', 'Midi-Length-Skirts', 'Skirt-Outfits', 'Flippy-Skirts', 'Dress-Skirt', 'Summer-Skirts', 'Sabo-Skirt', 'Midi-Skirt-Outfit-Casual']	['#TennisSkirts', '#DressSkirt', '#SkirtFashion', '#VelvetMiniSkirt', '#MiniSkirts', '#CottonSkirt', '#MidiLengthSkirts', '#SkirtOutfits', '#FlippySkirts', '#DressSkirt', '#SummerSkirts', '#SaboSkirt', '#MidiSkirtOutfitCasual']	https://www.flipkart.com/clothing-and-accessories/bottomwear/skirts/women-skirts/pr?sid=clo,vua,iku,w5t&otracker=categorytree&otracker=nmenu_sub_Women_0_Skirts	['https://www.flipkart.com/q/Tennis-Skirts', 'https://www.flipkart.com/q/Dress-Skirt', 'https://www.flipkart.com/q/Skirt-Fashion', 'https://www.flipkart.com/q/Velvet-Mini-Skirt', 'https://www.flipkart.com/q/Mini-Skirts', 'https://www.flipkart.com/q/Cotton-Skirt', 'https://www.flipkart.com/q/Midi-Length-Skirts', 'https://www.flipkart.com/q/Skirt-Outfits', 'https://www.flipkart.com/q/Flippy-Skirts', 'https://www.flipkart.com/q/Dress-Skirt', 'https://www.flipkart.com/q/Summer-Skirts', 'https://www.flipkart.com/q/Sabo-Skirt', 'https://www.flipkart.com/q/Midi-Skirt-Outfit-Casual']
Shorts	['Multi-Coloured-Shorts', 'Linen-Shorts']	['#MultiColouredShorts', '#LinenShorts']	https://www.flipkart.com/clothing-and-accessories/bottomwear/shorts/women-shorts/pr?sid=clo,vua,e8g,hbd&otracker=categorytree&otracker=nmenu_sub_Women_0_Shorts	['https://www.flipkart.com/q/Multi-Coloured-Shorts', 'https://www.flipkart.com/q/Linen-Shorts']
Jeans	['Flare-Jeans-Outfit', 'Jeans-Outfit-Winter', 'White-Jeans-Summer', 'Wide-leg-Jeans']	['#FlareJeansOutfit', '#JeansOutfitWinter', '#WhiteJeansSummer', '#WidelegJeans']	https://www.flipkart.com/clothing-and-accessories/bottomwear/jeans/women-jeans/pr?sid=clo,vua,k58,4hp&otracker=categorytree&otracker=nmenu_sub_Women_0_Jeans	['https://www.flipkart.com/q/Flare-Jeans-Outfit', 'https://www.flipkart.com/q/Jeans-Outfit-Winter', 'https://www.flipkart.com/q/White-Jeans-Summer', 'https://www.flipkart.com/q/Wide-leg-Jeans']
Dress	"['High-Neck-Dress', 'Classy-Dress', 'Girls-Night-Dress', 'Nice-Dresses', 'Iconic-Dresses', 'Strapless-Dress-Formal', 'Dress-Skirt', 'Inexpensive-Dresses', 'Gala-Dresses', 'Formal-Dresses', 'Cocktail-Dress-Classy-Elegant', 'Dress-Sites', 'Meat-Dress', 'Elegant-Midi-Dresses', 'Simple-Dresses', 'Sparkly-Mini-Dress', 'Date-Night-Dresses', 'Professional-Dresses', 'Two-Piece-Dress', 'Cute-Dresses-For-Teens', 'White-Dress', 'Maxi-Dress-With-Sleeves', 'Glam-Dresses', 'The-Dress', 'Satin-Dresses', 'Wedding-Dresses', 'Dress-Outfits', 'Picnic-Dress', 'Coat-Dress', 'Wrap-Dress-Floral', 'Midi-Dress-Outfit', 'Casual-Summer-Dresses', 'Dress-Skirt', 'Summer-Dresses-For-Women', 'Linen-Dresses', 'Pretty-Dresses', 'Wrap-Dress', 'Cotton-Summer-Dresses', 'Dress-Up', 'Pretty-Summer-Dresses', 'Vintage-Dresses', 'Casual-Party-Dresses', 'Dress-With-Sneakers', 'Wrap-Around-Dress', 'Spring-Dresses', 'White-Dress-Summer', 'Dress-Plus-Size', 'Sage-Green-Dress', 'Dress-Brands', 'Dress-Patterns', 'Cute-Dress-Outfits', 'Muslin-Dress', ""Women's-Fashion-Dresses"", 'Dress-Clothes', 'Maxi-Dresses', 'Gingham-Dress', 'Casual-Dresses', 'Designer-Dresses', 'Long-Dresses']"	"['#HighNeckDress', '#ClassyDress', '#GirlsNightDress', '#NiceDresses', '#IconicDresses', '#StraplessDressFormal', '#DressSkirt', '#InexpensiveDresses', '#GalaDresses', '#FormalDresses', '#CocktailDressClassyElegant', '#DressSites', '#MeatDress', '#ElegantMidiDresses', '#SimpleDresses', '#SparklyMiniDress', '#DateNightDresses', '#ProfessionalDresses', '#TwoPieceDress', '#CuteDressesForTeens', '#WhiteDress', '#MaxiDressWithSleeves', '#GlamDresses', '#TheDress', '#SatinDresses', '#WeddingDresses', '#DressOutfits', '#PicnicDress', '#CoatDress', '#WrapDressFloral', '#MidiDressOutfit', '#CasualSummerDresses', '#DressSkirt', '#SummerDressesForWomen', '#LinenDresses', '#PrettyDresses', '#WrapDress', '#CottonSummerDresses', '#DressUp', '#PrettySummerDresses', '#VintageDresses', '#CasualPartyDresses', '#DressWithSneakers', '#WrapAroundDress', '#SpringDresses', '#WhiteDressSummer', '#DressPlusSize', '#SageGreenDress', '#DressBrands', '#DressPatterns', '#CuteDressOutfits', '#MuslinDress', ""#Women'sFashionDresses"", '#DressClothes', '#MaxiDresses', '#GinghamDress', '#CasualDresses', '#DesignerDresses', '#LongDresses']"	https://www.flipkart.com/clothing-and-accessories/dresses-and-gown/dress/women-dress/pr?sid=clo,odx,maj,jhy&otracker=categorytree&otracker=nmenu_sub_Women_0_Dresses	"['https://www.flipkart.com/q/High-Neck-Dress', 'https://www.flipkart.com/q/Classy-Dress', 'https://www.flipkart.com/q/Girls-Night-Dress', 'https://www.flipkart.com/q/Nice-Dresses', 'https://www.flipkart.com/q/Iconic-Dresses', 'https://www.flipkart.com/q/Strapless-Dress-Formal', 'https://www.flipkart.com/q/Dress-Skirt', 'https://www.flipkart.com/q/Inexpensive-Dresses', 'https://www.flipkart.com/q/Gala-Dresses', 'https://www.flipkart.com/q/Formal-Dresses', 'https://www.flipkart.com/q/Cocktail-Dress-Classy-Elegant', 'https://www.flipkart.com/q/Dress-Sites', 'https://www.flipkart.com/q/Meat-Dress', 'https://www.flipkart.com/q/Elegant-Midi-Dresses', 'https://www.flipkart.com/q/Simple-Dresses', 'https://www.flipkart.com/q/Sparkly-Mini-Dress', 'https://www.flipkart.com/q/Date-Night-Dresses', 'https://www.flipkart.com/q/Professional-Dresses', 'https://www.flipkart.com/q/Two-Piece-Dress', 'https://www.flipkart.com/q/Cute-Dresses-For-Teens', 'https://www.flipkart.com/q/White-Dress', 'https://www.flipkart.com/q/Maxi-Dress-With-Sleeves', 'https://www.flipkart.com/q/Glam-Dresses', 'https://www.flipkart.com/q/The-Dress', 'https://www.flipkart.com/q/Satin-Dresses', 'https://www.flipkart.com/q/Wedding-Dresses', 'https://www.flipkart.com/q/Dress-Outfits', 'https://www.flipkart.com/q/Picnic-Dress', 'https://www.flipkart.com/q/Coat-Dress', 'https://www.flipkart.com/q/Wrap-Dress-Floral', 'https://www.flipkart.com/q/Midi-Dress-Outfit', 'https://www.flipkart.com/q/Casual-Summer-Dresses', 'https://www.flipkart.com/q/Dress-Skirt', 'https://www.flipkart.com/q/Summer-Dresses-For-Women', 'https://www.flipkart.com/q/Linen-Dresses', 'https://www.flipkart.com/q/Pretty-Dresses', 'https://www.flipkart.com/q/Wrap-Dress', 'https://www.flipkart.com/q/Cotton-Summer-Dresses', 'https://www.flipkart.com/q/Dress-Up', 'https://www.flipkart.com/q/Pretty-Summer-Dresses', 'https://www.flipkart.com/q/Vintage-Dresses', 'https://www.flipkart.com/q/Casual-Party-Dresses', 'https://www.flipkart.com/q/Dress-With-Sneakers', 'https://www.flipkart.com/q/Wrap-Around-Dress', 'https://www.flipkart.com/q/Spring-Dresses', 'https://www.flipkart.com/q/White-Dress-Summer', 'https://www.flipkart.com/q/Dress-Plus-Size', 'https://www.flipkart.com/q/Sage-Green-Dress', 'https://www.flipkart.com/q/Dress-Brands', 'https://www.flipkart.com/q/Dress-Patterns', 'https://www.flipkart.com/q/Cute-Dress-Outfits', 'https://www.flipkart.com/q/Muslin-Dress', ""https://www.flipkart.com/q/Women's-Fashion-Dresses"", 'https://www.flipkart.com/q/Dress-Clothes', 'https://www.flipkart.com/q/Maxi-Dresses', 'https://www.flipkart.com/q/Gingham-Dress', 'https://www.flipkart.com/q/Casual-Dresses', 'https://www.flipkart.com/q/Designer-Dresses', 'https://www.flipkart.com/q/Long-Dresses']"
Trousers	['Linen-Trousers']	['#LinenTrousers']	https://www.flipkart.com/clothing-and-accessories/bottomwear/~cs-g50m8job1g/pr?sid=clo%2Cvua&collection-tab-name=Trousers%20and%20Capris&otracker=nmenu_sub_Women_0_Trousers%20%26%20Capris	['https://www.flipkart.com/q/Linen-Trousers']
Heel	['Casual-Heels', 'High-Heel-Boots', 'Chunky-Heel-Ankle-Boots', 'Fur-Heels', 'Chunky-Heels', 'Shoes-Heels-Boots', 'High-Heels', 'Heeled-Boots']	['#CasualHeels', '#HighHeelBoots', '#ChunkyHeelAnkleBoots', '#FurHeels', '#ChunkyHeels', '#ShoesHeelsBoots', '#HighHeels', '#HeeledBoots']	https://www.flipkart.com/womens-footwear/heels/pr?sid=osp,iko,6q1&otracker=nmenu_sub_Women_0_Heels	['https://www.flipkart.com/q/Casual-Heels', 'https://www.flipkart.com/q/High-Heel-Boots', 'https://www.flipkart.com/q/Chunky-Heel-Ankle-Boots', 'https://www.flipkart.com/q/Fur-Heels', 'https://www.flipkart.com/q/Chunky-Heels', 'https://www.flipkart.com/q/Shoes-Heels-Boots', 'https://www.flipkart.com/q/High-Heels', 'https://www.flipkart.com/q/Heeled-Boots']
Shoe	['Light-Blue-Shoes', 'Dr-Shoes', 'Purple-Shoes', 'Hype-Shoes', 'Winter-Shoes', 'Green-Shoes', 'Beige-Shoes', 'Shoes-Heels-Boots', 'Casual-Shoes', 'Army-Shoes', 'Shoes', 'Running-Shoes-For-Men', 'Shoes-Sneakers']	['#LightBlueShoes', '#DrShoes', '#PurpleShoes', '#HypeShoes', '#WinterShoes', '#GreenShoes', '#BeigeShoes', '#ShoesHeelsBoots', '#CasualShoes', '#ArmyShoes', '#Shoes', '#RunningShoesForMen', '#ShoesSneakers']	https://www.flipkart.com/womens-footwear/~sports-casual-shoes/pr?&sid=osp%2Ciko&otracker=nmenu_sub_Women_0_Shoes	['https://www.flipkart.com/q/Light-Blue-Shoes', 'https://www.flipkart.com/q/Dr-Shoes', 'https://www.flipkart.com/q/Purple-Shoes', 'https://www.flipkart.com/q/Hype-Shoes', 'https://www.flipkart.com/q/Winter-Shoes', 'https://www.flipkart.com/q/Green-Shoes', 'https://www.flipkart.com/q/Beige-Shoes', 'https://www.flipkart.com/q/Shoes-Heels-Boots', 'https://www.flipkart.com/q/Casual-Shoes', 'https://www.flipkart.com/q/Army-Shoes', 'https://www.flipkart.com/q/Shoes', 'https://www.flipkart.com/q/Running-Shoes-For-Men', 'https://www.flipkart.com/q/Shoes-Sneakers']
Boot	['Leather-Over-The-Knee-Boots', 'Ankle-Boots', 'Buckle-Ankle-Boots', 'High-Heel-Boots', 'Ugg-Boots', 'High-Ankle-Boots', 'Chunky-Heel-Ankle-Boots', 'Mid-Calf-Boots', 'Chunky-Boots', 'Ladies-Long-Boots', 'Black-Ankle-Boots', 'Combat-Boots', 'Timberland-Boots', 'High-Boots', 'Shoes-Heels-Boots', 'Black-Boots', 'Leather-Boots', 'White-Boots', 'Thigh-High-Boots', 'Martin-Boots', 'Heeled-Boots', 'Snow-Boot', 'Chelsea-Boots', 'Vegan-Boots', 'Rubber-Rain-Boots', 'Boots-For-Sale', 'Platform-Boots']	['#LeatherOverTheKneeBoots', '#AnkleBoots', '#BuckleAnkleBoots', '#HighHeelBoots', '#UggBoots', '#HighAnkleBoots', '#ChunkyHeelAnkleBoots', '#MidCalfBoots', '#ChunkyBoots', '#LadiesLongBoots', '#BlackAnkleBoots', '#CombatBoots', '#TimberlandBoots', '#HighBoots', '#ShoesHeelsBoots', '#BlackBoots', '#LeatherBoots', '#WhiteBoots', '#ThighHighBoots', '#MartinBoots', '#HeeledBoots', '#SnowBoot', '#ChelseaBoots', '#VeganBoots', '#RubberRainBoots', '#BootsForSale', '#PlatformBoots']	https://www.flipkart.com/womens-footwear/boots/pr?sid=osp%2Ciko%2Cxgp&otracker=nmenu_sub_Women_0_Boots	['https://www.flipkart.com/q/Leather-Over-The-Knee-Boots', 'https://www.flipkart.com/q/Ankle-Boots', 'https://www.flipkart.com/q/Buckle-Ankle-Boots', 'https://www.flipkart.com/q/High-Heel-Boots', 'https://www.flipkart.com/q/Ugg-Boots', 'https://www.flipkart.com/q/High-Ankle-Boots', 'https://www.flipkart.com/q/Chunky-Heel-Ankle-Boots', 'https://www.flipkart.com/q/Mid-Calf-Boots', 'https://www.flipkart.com/q/Chunky-Boots', 'https://www.flipkart.com/q/Ladies-Long-Boots', 'https://www.flipkart.com/q/Black-Ankle-Boots', 'https://www.flipkart.com/q/Combat-Boots', 'https://www.flipkart.com/q/Timberland-Boots', 'https://www.flipkart.com/q/High-Boots', 'https://www.flipkart.com/q/Shoes-Heels-Boots', 'https://www.flipkart.com/q/Black-Boots', 'https://www.flipkart.com/q/Leather-Boots', 'https://www.flipkart.com/q/White-Boots', 'https://www.flipkart.com/q/Thigh-High-Boots', 'https://www.flipkart.com/q/Martin-Boots', 'https://www.flipkart.com/q/Heeled-Boots', 'https://www.flipkart.com/q/Snow-Boot', 'https://www.flipkart.com/q/Chelsea-Boots', 'https://www.flipkart.com/q/Vegan-Boots', 'https://www.flipkart.com/q/Rubber-Rain-Boots', 'https://www.flipkart.com/q/Boots-For-Sale', 'https://www.flipkart.com/q/Platform-Boots']
Bag	['Vintage-Bags', 'Luxury-Bags', 'Purses-And-Bags']	['#VintageBags', '#LuxuryBags', '#PursesAndBags']	https://www.flipkart.com/bags-wallets-belts/handbags-clutches/handbags/pr?sid=reh,ihu,m08&otracker=categorytree&otracker=nmenu_sub_Women_0_Handbags	['https://www.flipkart.com/q/Vintage-Bags', 'https://www.flipkart.com/q/Luxury-Bags', 'https://www.flipkart.com/q/Purses-And-Bags']
